"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","120,213.77","115,697.41","120,213.77","115,697.41","","3.67%"
"11/01/2025","115,958.24","114,289.36","118,439.77","112,778.20","","1.57%"
"10/01/2025","114,163.30","113,910.13","114,980.11","110,415.93","","1.05%"
"09/01/2025","112,973.41","112,035.22","113,736.52","109,916.81","","1.35%"
"08/01/2025","111,471.17","105,518.35","114,414.29","105,518.35","","2.95%"
"07/01/2025","108,278.61","104,154.01","109,995.86","104,154.01","","3.36%"
"06/01/2025","104,761.97","104,977.13","106,599.11","102,241.49","","-0.46%"
"05/01/2025","105,248.21","98,852.29","106,465.97","98,831.52","","8.52%"
"04/01/2025","96,987.28","98,593.96","98,593.96","83,694.39","","-0.32%"
"03/01/2025","97,301.64","99,803.09","101,446.30","96,300.63","","-1.46%"
"02/01/2025","98,744.72","92,521.66","100,199.84","92,521.66","","5.99%"
"01/01/2025","93,167.36","87,493.99","93,167.36","86,864.91","","7.07%"
"12/01/2024","87,013.98","85,215.40","88,792.72","85,215.40","","2.32%"
"11/01/2024","85,040.77","87,174.11","87,174.11","84,214.06","","-1.32%"
"10/01/2024","86,181.27","84,898.76","88,501.70","83,387.75","","0.46%"
"09/01/2024","85,789.15","86,173.58","87,302.91","83,295.71","","-0.60%"
"08/01/2024","86,304.32","82,499.80","86,304.32","78,105.08","","1.80%"
"07/01/2024","84,775.70","84,378.13","86,969.91","83,789.66","","2.18%"
"06/01/2024","82,970.43","86,535.17","86,535.17","86,535.17","","-3.63%"
"05/01/2024","86,091.75","83,012.30","83,012.30","83,012.30","","3.68%"
"04/01/2024","83,037.57","83,169.53","83,169.53","83,169.53","","-1.38%"
"03/01/2024","84,199.59","79,713.60","79,713.60","79,713.60","","6.77%"
"02/01/2024","78,858.35","74,273.84","74,273.84","74,273.84","","5.98%"
"01/01/2024","74,407.25","73,560.27","73,560.27","73,560.27","","1.73%"
"12/01/2023","73,143.34","72,117.89","72,117.89","72,117.89","","2.07%"
"11/01/2023","71,657.48","66,869.79","66,869.79","66,869.79","","8.10%"
"10/01/2023","66,287.88","66,545.32","66,545.32","66,545.32","","-1.78%"
"09/01/2023","67,485.83","68,371.66","68,371.66","68,371.66","","-1.92%"
"08/01/2023","68,803.68","70,055.69","70,055.69","70,055.69","","-2.74%"
"07/01/2023","70,744.28","67,627.03","67,627.03","67,627.03","","5.41%"
"06/01/2023","67,113.37","63,029.32","63,029.32","63,029.32","","8.62%"
"05/01/2023","61,785.68","62,355.43","62,355.43","62,355.43","","-2.55%"
"04/01/2023","63,402.91","62,774.69","62,774.69","62,774.69","","1.24%"
"03/01/2023","62,623.59","63,003.27","63,003.27","63,003.27","","-1.19%"
"02/01/2023","63,379.91","61,587.07","61,587.07","61,587.07","","3.31%"
"01/01/2023","61,346.91","55,462.21","55,462.21","55,462.21","","12.72%"
"12/01/2022","54,426.07","56,667.44","56,667.44","56,667.44","","-3.66%"
"11/01/2022","56,494.40","51,974.38","51,974.38","51,974.38","","9.39%"
"10/01/2022","51,647.13","47,817.75","47,817.75","47,817.75","","9.70%"
"09/01/2022","47,079.67","48,490.31","48,490.31","48,490.31","","-4.07%"
"08/01/2022","49,075.68","50,877.85","50,877.85","50,877.85","","-3.78%"
"07/01/2022","51,001.80","48,398.73","48,398.73","48,398.73","","5.68%"
"06/01/2022","48,260.96","54,875.39","54,875.39","54,875.39","","-12.85%"
"05/01/2022","55,375.96","53,138.10","53,138.10","53,138.10","","2.51%"
"04/01/2022","54,017.75","55,460.03","55,460.03","55,460.03","","-2.05%"
"03/01/2022","55,146.98","53,692.60","53,692.60","53,692.60","","-1.54%"
"02/01/2022","56,011.72","59,993.73","59,993.73","59,993.73","","-5.21%"
"01/01/2022","59,088.40","60,869.73","60,869.73","60,869.73","","-1.57%"
"12/01/2021","60,027.96","58,293.50","58,293.50","58,293.50","","5.95%"
"11/01/2021","56,659.54","56,659.54","56,659.54","56,659.54","","-3.41%"
"10/01/2021","58,657.44","58,657.44","58,657.44","58,657.44","","5.27%"
"09/01/2021","55,723.46","55,723.46","55,723.46","55,723.46","","-0.99%"
"08/01/2021","56,279.94","56,279.94","56,279.94","56,279.94","","2.55%"
"07/01/2021","54,881.52","54,881.52","54,881.52","54,881.52","","1.42%"
"06/01/2021","54,113.55","54,113.55","54,113.55","54,113.55","","-0.04%"
"05/01/2021","54,134.61","54,134.61","54,134.61","54,134.61","","5.20%"
"04/01/2021","51,457.67","51,457.67","51,457.67","51,457.67","","-1.91%"
"03/01/2021","52,460.11","52,460.11","52,460.11","52,460.11","","7.88%"
"02/01/2021","48,626.24","48,626.24","48,626.24","48,626.24","","5.92%"
"01/01/2021","45,910.56","45,910.56","45,910.56","45,910.56","","-2.61%"
"12/01/2020","47,141.06","47,141.06","47,141.06","47,141.06","","0.79%"
"11/01/2020","46,773.33","46,773.33","46,773.33","46,773.33","","23.05%"
"10/01/2020","38,010.10","38,010.10","38,010.10","38,010.10","","-5.64%"
"09/01/2020","40,281.34","40,281.34","40,281.34","40,281.34","","-3.04%"
"08/01/2020","41,545.92","41,545.92","41,545.92","41,545.92","","2.84%"
"07/01/2020","40,399.52","40,399.52","40,399.52","40,399.52","","-1.12%"
"06/01/2020","40,858.59","40,858.59","40,858.59","40,858.59","","6.82%"
"05/01/2020","38,251.07","38,251.07","38,251.07","38,251.07","","3.76%"
"04/01/2020","36,863.56","36,863.56","36,863.56","36,863.56","","3.82%"
"03/01/2020","35,507.59","35,507.59","35,507.59","35,507.59","","-22.43%"
"02/01/2020","45,774.46","45,774.46","45,774.46","45,774.46","","-5.39%"
"01/01/2020","48,383.02","48,383.02","48,383.02","48,383.02","","-0.76%"
"12/01/2019","48,753.76","48,753.76","48,753.76","48,753.76","","1.07%"
"11/01/2019","48,236.82","48,236.82","48,236.82","48,236.82","","2.68%"
"10/01/2019","46,978.59","46,978.59","46,978.59","46,978.59","","2.65%"
"09/01/2019","45,765.37","45,765.37","45,765.37","45,765.37","","4.02%"
"08/01/2019","43,998.34","43,998.34","43,998.34","43,998.34","","-0.35%"
"07/01/2019","44,153.70","44,153.70","44,153.70","44,153.70","","1.10%"
"06/01/2019","43,675.04","43,675.04","43,675.04","43,675.04","","7.56%"
"05/01/2019","40,605.38","40,605.38","40,605.38","40,605.38","","-7.58%"
"04/01/2019","43,935.80","43,935.80","43,935.80","43,935.80","","3.35%"
"03/01/2019","42,512.92","42,512.92","42,512.92","42,512.92","","3.04%"
"02/01/2019","41,257.08","41,257.08","41,257.08","41,257.08","","4.71%"
"01/01/2019","39,402.50","39,402.50","39,402.50","39,402.50","","8.14%"
"12/01/2018","36,437.64","36,437.64","36,437.64","36,437.64","","-4.50%"
"11/01/2018","38,153.18","38,153.18","38,153.18","38,153.18","","0.91%"
"10/01/2018","37,809.21","37,809.21","37,809.21","37,809.21","","-8.02%"
"09/01/2018","41,106.77","41,106.77","41,106.77","41,106.77","","2.51%"
"08/01/2018","40,100.86","40,100.86","40,100.86","40,100.86","","-8.76%"
"07/01/2018","43,951.25","43,951.25","43,951.25","43,951.25","","3.04%"
"06/01/2018","42,655.42","42,655.42","42,655.42","42,655.42","","-0.51%"
"05/01/2018","42,872.04","42,872.04","42,872.04","42,872.04","","-7.55%"
"04/01/2018","46,373.02","46,373.02","46,373.02","46,373.02","","7.38%"
"03/01/2018","43,184.06","43,184.06","43,184.06","43,184.06","","-0.86%"
"02/01/2018","43,558.84","43,558.84","43,558.84","43,558.84","","-3.83%"
"01/01/2018","45,291.84","45,291.84","45,291.84","45,291.84","","7.86%"
"12/01/2017","41,989.79","41,989.79","41,989.79","41,989.79","","-2.29%"
"11/01/2017","42,975.22","42,975.22","42,975.22","42,975.22","","-1.65%"
"10/01/2017","43,694.45","43,694.45","43,694.45","43,694.45","","0.43%"
"09/01/2017","43,507.78","43,507.78","43,507.78","43,507.78","","5.05%"
"08/01/2017","41,415.76","41,415.76","41,415.76","41,415.76","","0.85%"
"07/01/2017","41,065.79","41,065.79","41,065.79","41,065.79","","4.61%"
"06/01/2017","39,257.22","39,257.22","39,257.22","39,257.22","","-0.57%"
"05/01/2017","39,483.33","39,483.33","39,483.33","39,483.33","","2.17%"
"04/01/2017","38,645.38","38,645.38","38,645.38","38,645.38","","1.06%"
"03/01/2017","38,239.13","38,239.13","38,239.13","38,239.13","","8.36%"
"02/01/2017","35,287.49","35,287.49","35,287.49","35,287.49","","1.73%"
"01/01/2017","34,685.70","34,685.70","34,685.70","34,685.70","","-3.11%"
"12/01/2016","35,800.57","35,800.57","35,800.57","35,800.57","","13.62%"
"11/01/2016","31,507.78","31,507.78","31,507.78","31,507.78","","-0.84%"
"10/01/2016","31,776.00","31,776.00","31,776.00","31,776.00","","4.41%"
"09/01/2016","30,432.51","30,432.51","30,432.51","30,432.51","","-2.77%"
"08/01/2016","31,301.04","31,301.04","31,301.04","31,301.04","","0.57%"
"07/01/2016","31,122.75","31,122.75","31,122.75","31,122.75","","4.01%"
"06/01/2016","29,923.64","29,923.64","29,923.64","29,923.64","","-9.50%"
"05/01/2016","33,064.78","33,064.78","33,064.78","33,064.78","","-0.94%"
"04/01/2016","33,378.30","33,378.30","33,378.30","33,378.30","","3.05%"
"03/01/2016","32,391.70","32,391.70","32,391.70","32,391.70","","2.82%"
"02/01/2016","31,502.06","31,502.06","31,502.06","31,502.06","","-5.54%"
"01/01/2016","33,350.77","33,350.77","33,350.77","33,350.77","","-12.89%"
"12/01/2015","38,286.33","38,286.33","38,286.33","38,286.33","","-5.70%"
"11/01/2015","40,601.38","40,601.38","40,601.38","40,601.38","","1.41%"
"10/01/2015","40,038.58","40,038.58","40,038.58","40,038.58","","5.39%"
"09/01/2015","37,991.32","37,991.32","37,991.32","37,991.32","","-2.61%"
"08/01/2015","39,009.09","39,009.09","39,009.09","39,009.09","","-6.78%"
"07/01/2015","41,846.71","41,846.71","41,846.71","41,846.71","","4.80%"
"06/01/2015","39,931.41","39,931.41","39,931.41","39,931.41","","-3.96%"
"05/01/2015","41,577.74","41,577.74","41,577.74","41,577.74","","3.59%"
"04/01/2015","40,137.53","40,137.53","40,137.53","40,137.53","","-0.38%"
"03/01/2015","40,291.93","40,291.93","40,291.93","40,291.93","","3.69%"
"02/01/2015","38,859.01","38,859.01","38,859.01","38,859.01","","8.95%"
"01/01/2015","35,667.86","35,667.86","35,667.86","35,667.86","","7.87%"
"12/01/2014","33,067.06","33,067.06","33,067.06","33,067.06","","-4.99%"
"11/01/2014","34,803.98","34,803.98","34,803.98","34,803.98","","1.33%"
"10/01/2014","34,347.36","34,347.36","34,347.36","34,347.36","","-5.30%"
"09/01/2014","36,271.18","36,271.18","36,271.18","36,271.18","","2.64%"
"08/01/2014","35,338.52","35,338.52","35,338.52","35,338.52","","-0.58%"
"07/01/2014","35,546.42","35,546.42","35,546.42","35,546.42","","-3.35%"
"06/01/2014","36,777.15","36,777.15","36,777.15","36,777.15","","-1.16%"
"05/01/2014","37,207.42","37,207.42","37,207.42","37,207.42","","0.77%"
"04/01/2014","36,924.77","36,924.77","36,924.77","36,924.77","","0.52%"
"03/01/2014","36,732.24","36,732.24","36,732.24","36,732.24","","6.13%"
"02/01/2014","34,610.76","34,610.76","34,610.76","34,610.76","","5.27%"
"01/01/2014","32,876.93","32,876.93","32,876.93","32,876.93","","2.38%"
